koi,sig_tt_min,s_oc_min,pval,source
1.01,0.08,0.09,-0.0,Holczer+2016_J/ApJS/225/9_table4
2.01,0.23,0.24,0.0,Holczer+2016_J/ApJS/225/9_table4
3.01,0.24,0.35,-0.2,Holczer+2016_J/ApJS/225/9_table4
5.01,1.65,1.73,-0.0,Holczer+2016_J/ApJS/225/9_table4
7.01,3.54,3.28,0.0,Holczer+2016_J/ApJS/225/9_table4
10.01,0.60,0.59,0.0,Holczer+2016_J/ApJS/225/9_table4
12.01,0.37,1.51,-16.,Holczer+2016_J/ApJS/225/9_table4
13.01,0.13,0.16,-0.0,Holczer+2016_J/ApJS/225/9_table4
17.01,0.33,0.40,-0.0,Holczer+2016_J/ApJS/225/9_table4
18.01,0.57,0.56,0.0,Holczer+2016_J/ApJS/225/9_table4
20.01,0.29,0.31,-0.0,Holczer+2016_J/ApJS/225/9_table4
22.01,0.42,0.50,-0.0,Holczer+2016_J/ApJS/225/9_table4
41.01,9.45,10.65,-0.0,Holczer+2016_J/ApJS/225/9_table4
41.02,22.82,27.74,-0.0,Holczer+2016_J/ApJS/225/9_table4
41.03,25.76,37.75,-0.3,Holczer+2016_J/ApJS/225/9_table4
42.01,2.67,14.08,-16.,Holczer+2016_J/ApJS/225/9_table4
46.01,3.60,3.97,-0.0,Holczer+2016_J/ApJS/225/9_table4
49.01,4.80,4.62,-0.0,Holczer+2016_J/ApJS/225/9_table4
63.01,0.44,0.95,-12.2,Holczer+2016_J/ApJS/225/9_table4
69.01,2.96,3.36,-0.0,Holczer+2016_J/ApJS/225/9_table4
70.01,2.44,2.76,-0.0,Holczer+2016_J/ApJS/225/9_table4
70.02,6.25,6.62,-0.0,Holczer+2016_J/ApJS/225/9_table4
70.03,3.67,6.11,-0.6,Holczer+2016_J/ApJS/225/9_table4
70.05,28.80,29.56,-0.0,Holczer+2016_J/ApJS/225/9_table4
72.01,7.04,6.76,0.0,Holczer+2016_J/ApJS/225/9_table4
72.02,3.76,4.91,-0.1,Holczer+2016_J/ApJS/225/9_table4
75.01,2.05,18.37,-16.,Holczer+2016_J/ApJS/225/9_table4
82.01,1.98,2.31,-0.0,Holczer+2016_J/ApJS/225/9_table4
82.02,7.00,7.66,-0.0,Holczer+2016_J/ApJS/225/9_table4
82.03,13.92,21.45,-0.5,Holczer+2016_J/ApJS/225/9_table4
82.04,26.85,32.43,-0.0,Holczer+2016_J/ApJS/225/9_table4
84.01,2.64,4.56,-2.5,Holczer+2016_J/ApJS/225/9_table4
85.01,4.10,4.95,-0.0,Holczer+2016_J/ApJS/225/9_table4
85.02,14.17,12.38,0.0,Holczer+2016_J/ApJS/225/9_table4
85.03,12.16,13.19,-0.0,Holczer+2016_J/ApJS/225/9_table4
89.01,6.09,9.74,-0.5,Holczer+2016_J/ApJS/225/9_table4
92.01,2.78,2.92,-0.0,Holczer+2016_J/ApJS/225/9_table4
94.01,0.48,0.80,-0.8,Holczer+2016_J/ApJS/225/9_table4
94.02,2.85,5.54,-2.9,Holczer+2016_J/ApJS/225/9_table4
94.03,1.58,8.88,-16.,Holczer+2016_J/ApJS/225/9_table4
94.04,23.10,22.77,-0.0,Holczer+2016_J/ApJS/225/9_table4
97.01,0.42,0.48,-0.0,Holczer+2016_J/ApJS/225/9_table4
98.01,1.01,1.04,-0.0,Holczer+2016_J/ApJS/225/9_table4
100.01,3.26,5.80,-3.2,Holczer+2016_J/ApJS/225/9_table4
102.01,2.54,2.69,0.0,Holczer+2016_J/ApJS/225/9_table4
103.01,3.82,27.02,-16.,Holczer+2016_J/ApJS/225/9_table4
104.01,1.90,1.88,0.0,Holczer+2016_J/ApJS/225/9_table4
105.01,2.49,2.60,-0.0,Holczer+2016_J/ApJS/225/9_table4
107.01,6.27,6.84,-0.0,Holczer+2016_J/ApJS/225/9_table4
108.01,4.30,5.64,-0.0,Holczer+2016_J/ApJS/225/9_table4
110.01,4.27,4.51,-0.0,Holczer+2016_J/ApJS/225/9_table4
111.01,5.11,6.66,-0.0,Holczer+2016_J/ApJS/225/9_table4
111.02,5.79,4.85,-0.0,Holczer+2016_J/ApJS/225/9_table4
111.03,4.86,3.54,-0.0,Holczer+2016_J/ApJS/225/9_table4
112.01,4.31,3.35,-0.0,Holczer+2016_J/ApJS/225/9_table4
112.02,22.45,18.11,0.0,Holczer+2016_J/ApJS/225/9_table4
115.01,4.24,5.63,-0.0,Holczer+2016_J/ApJS/225/9_table4
115.02,15.19,13.64,-0.0,Holczer+2016_J/ApJS/225/9_table4
116.01,6.28,7.37,-0.0,Holczer+2016_J/ApJS/225/9_table4
116.02,6.27,7.64,-0.1,Holczer+2016_J/ApJS/225/9_table4
117.01,7.88,9.06,-0.0,Holczer+2016_J/ApJS/225/9_table4
117.02,21.15,26.00,-0.0,Holczer+2016_J/ApJS/225/9_table4
117.03,27.07,32.62,-0.0,Holczer+2016_J/ApJS/225/9_table4
118.01,11.26,10.79,-0.0,Holczer+2016_J/ApJS/225/9_table4
119.01,2.04,3.44,-0.8,Holczer+2016_J/ApJS/225/9_table4
119.02,4.43,13.34,-3.8,Holczer+2016_J/ApJS/225/9_table4
122.01,4.82,5.49,-0.0,Holczer+2016_J/ApJS/225/9_table4
123.01,7.61,7.74,-0.0,Holczer+2016_J/ApJS/225/9_table4
123.02,7.52,4.61,-0.0,Holczer+2016_J/ApJS/225/9_table4
124.01,10.22,10.88,-0.0,Holczer+2016_J/ApJS/225/9_table4
124.02,8.37,6.32,-0.0,Holczer+2016_J/ApJS/225/9_table4
127.01,0.46,0.49,-0.0,Holczer+2016_J/ApJS/225/9_table4
128.01,0.44,0.50,-0.0,Holczer+2016_J/ApJS/225/9_table4
137.01,1.84,4.55,-16.,Holczer+2016_J/ApJS/225/9_table4
137.02,1.32,4.66,-16.,Holczer+2016_J/ApJS/225/9_table4
137.03,15.12,12.82,0.0,Holczer+2016_J/ApJS/225/9_table4
139.01,1.77,56.39,-16.,Holczer+2016_J/ApJS/225/9_table4
139.02,23.84,25.69,-0.0,Holczer+2016_J/ApJS/225/9_table4
141.01,1.90,1.84,0.0,Holczer+2016_J/ApJS/225/9_table4
142.01,2.01,608.19,-16.,Holczer+2016_J/ApJS/225/9_table4
144.01,4.08,4.44,-0.0,Holczer+2016_J/ApJS/225/9_table4
148.01,8.66,8.98,-0.0,Holczer+2016_J/ApJS/225/9_table4
148.02,3.95,4.63,-0.0,Holczer+2016_J/ApJS/225/9_table4
148.03,10.03,10.24,-0.0,Holczer+2016_J/ApJS/225/9_table4
149.01,5.64,5.10,-0.0,Holczer+2016_J/ApJS/225/9_table4
150.01,5.54,5.89,-0.0,Holczer+2016_J/ApJS/225/9_table4
150.02,5.81,4.36,-0.0,Holczer+2016_J/ApJS/225/9_table4
151.01,5.51,5.38,-0.0,Holczer+2016_J/ApJS/225/9_table4
152.01,2.53,9.04,-16.,Holczer+2016_J/ApJS/225/9_table4
152.02,9.32,16.22,-1.3,Holczer+2016_J/ApJS/225/9_table4
152.03,9.04,14.16,-0.7,Holczer+2016_J/ApJS/225/9_table4
152.04,19.79,35.09,-0.9,Holczer+2016_J/ApJS/225/9_table4
153.01,5.30,5.07,-0.0,Holczer+2016_J/ApJS/225/9_table4
153.02,6.88,6.88,-0.0,Holczer+2016_J/ApJS/225/9_table4
155.01,6.60,5.81,0.0,Holczer+2016_J/ApJS/225/9_table4
156.01,8.68,10.12,-0.0,Holczer+2016_J/ApJS/225/9_table4
156.02,16.28,15.13,-0.0,Holczer+2016_J/ApJS/225/9_table4
156.03,3.58,4.18,-0.0,Holczer+2016_J/ApJS/225/9_table4
157.01,7.04,8.34,-0.0,Holczer+2016_J/ApJS/225/9_table4
157.02,6.13,7.97,-0.1,Holczer+2016_J/ApJS/225/9_table4
157.03,3.43,9.14,-9.0,Holczer+2016_J/ApJS/225/9_table4
157.04,10.34,29.73,-7.0,Holczer+2016_J/ApJS/225/9_table4
157.05,5.07,7.77,-0.4,Holczer+2016_J/ApJS/225/9_table4
157.06,16.39,15.52,-0.0,Holczer+2016_J/ApJS/225/9_table4
159.01,9.30,9.12,-0.0,Holczer+2016_J/ApJS/225/9_table4
161.01,3.73,4.03,-0.0,Holczer+2016_J/ApJS/225/9_table4
162.01,6.81,4.97,-0.0,Holczer+2016_J/ApJS/225/9_table4
165.01,5.47,5.83,-0.0,Holczer+2016_J/ApJS/225/9_table4
166.01,6.26,6.41,-0.0,Holczer+2016_J/ApJS/225/9_table4
167.01,9.44,9.94,-0.0,Holczer+2016_J/ApJS/225/9_table4
168.01,12.28,18.22,-0.3,Holczer+2016_J/ApJS/225/9_table4
168.02,22.24,21.86,-0.0,Holczer+2016_J/ApJS/225/9_table4
168.03,62.23,48.19,-0.0,Holczer+2016_J/ApJS/225/9_table4
171.01,8.72,9.10,-0.0,Holczer+2016_J/ApJS/225/9_table4
171.02,21.57,22.45,-0.0,Holczer+2016_J/ApJS/225/9_table4
172.01,9.01,7.46,-0.0,Holczer+2016_J/ApJS/225/9_table4
173.01,11.16,10.15,-0.0,Holczer+2016_J/ApJS/225/9_table4
174.01,3.93,7.39,-1.4,Holczer+2016_J/ApJS/225/9_table4
176.01,9.67,10.82,-0.0,Holczer+2016_J/ApJS/225/9_table4
177.01,14.40,14.52,-0.0,Holczer+2016_J/ApJS/225/9_table4
179.01,6.60,6.04,-0.0,Holczer+2016_J/ApJS/225/9_table4
180.01,4.49,3.73,-0.0,Holczer+2016_J/ApJS/225/9_table4
183.01,0.34,0.36,0.0,Holczer+2016_J/ApJS/225/9_table4
186.01,0.60,0.66,-0.0,Holczer+2016_J/ApJS/225/9_table4
188.01,0.48,0.52,-0.0,Holczer+2016_J/ApJS/225/9_table4
189.01,0.46,0.70,-0.4,Holczer+2016_J/ApJS/225/9_table4
191.01,0.82,0.84,-0.0,Holczer+2016_J/ApJS/225/9_table4
191.02,14.12,14.97,-0.0,Holczer+2016_J/ApJS/225/9_table4
191.04,21.56,17.01,-0.0,Holczer+2016_J/ApJS/225/9_table4
192.01,0.58,0.52,-0.0,Holczer+2016_J/ApJS/225/9_table4
193.01,0.44,0.41,-0.0,Holczer+2016_J/ApJS/225/9_table4
195.01,0.61,0.62,0.0,Holczer+2016_J/ApJS/225/9_table4
196.01,0.59,0.60,0.0,Holczer+2016_J/ApJS/225/9_table4
197.01,0.63,0.72,-0.0,Holczer+2016_J/ApJS/225/9_table4
199.01,0.79,0.74,0.0,Holczer+2016_J/ApJS/225/9_table4
200.01,0.74,0.87,-0.0,Holczer+2016_J/ApJS/225/9_table4
202.01,0.57,0.63,0.0,Holczer+2016_J/ApJS/225/9_table4
203.01,0.29,0.53,-16.0,Holczer+2016_J/ApJS/225/9_table4
