time_bkjd,pdcsap_flux,pdcsap_flux_err,sap_quality
1977.36461078,350611.78125000,16.25456810,0
1977.38504304,350633.09375000,16.26950645,0
1977.40547530,350619.00000000,16.27241325,0
1977.42590757,350468.71875000,16.27302361,0
1977.44633993,350516.93750000,16.27923584,0
1977.46677209,350559.65625000,16.28950882,0
1977.48720444,350659.34375000,16.27980232,0
1977.50763670,350526.12500000,16.28512764,262144
1977.52806886,350595.00000000,16.29778671,0
1977.54850122,350567.87500000,16.30034065,0
1977.56893348,350511.68750000,16.29332542,0
1977.58936563,350440.78125000,16.29636002,0
1977.60979799,350564.21875000,16.28796959,0
1977.63023025,350476.84375000,16.29613495,0
1977.65066240,350436.68750000,16.30154228,0
1977.67109476,350530.75000000,16.30499077,0
1977.69152701,350526.37500000,16.30344772,0
1977.71195917,350417.53125000,16.30607224,0
1977.73239152,350382.62500000,16.29383278,0
1977.75282377,350377.53125000,16.30578423,0
1977.77325593,350421.28125000,16.31362724,0
1977.79368828,350431.68750000,16.31915855,0
1977.81412053,350412.96875000,16.31147385,0
1977.83455278,350386.93750000,16.31542397,0
1977.85498503,350372.40625000,16.31869316,0
1977.87541728,350341.46875000,16.31885719,0
1977.89584953,350409.12500000,16.31368637,0
1977.91628178,350432.90625000,16.31076622,0
1977.93671403,350427.34375000,16.31978226,0
1977.95714638,350395.06250000,16.30282021,0
1977.97757853,350372.59375000,16.32157135,0
1977.99801077,350263.93750000,16.32276535,0
1978.01844312,350281.84375000,16.32595825,0
1978.03887527,350335.56250000,16.31636620,0
1978.05930751,350327.71875000,16.33715248,0
1978.07973986,350405.53125000,16.31539536,0
1978.10017200,350343.56250000,16.33831787,0
1978.12060425,350270.18750000,16.33839989,0
1978.14103659,350338.18750000,16.34056282,0
1978.16146874,350194.62500000,16.33384514,0
1978.18190098,350156.59375000,16.34635735,0
1978.20233332,350155.12500000,16.33495903,0
1978.22276547,350096.84375000,16.35461235,0
1978.24319781,350145.15625000,16.35987091,0
1978.26363005,350080.31250000,16.35730553,0
1978.28406229,350072.09375000,16.35473251,0
1978.30449453,350067.62500000,16.36217690,0
1978.32492677,349959.71875000,16.35706902,0
1978.34535901,350044.50000000,16.35827065,0
1978.36579125,350035.96875000,16.36192513,0
1978.38622349,348829.09375000,16.44465828,2048
1978.40665573,349913.59375000,16.36191940,0
1978.42708796,350020.53125000,16.36050415,0
1978.44752020,349987.43750000,16.36122704,0
1978.46795244,350017.40625000,16.36587715,0
1978.48838467,349926.50000000,16.35480118,0
1978.50881691,349880.00000000,16.35965347,0
1978.52924905,349883.84375000,16.35807610,0
1978.57011362,350643.46875000,16.19188881,0
1978.59054575,350756.43750000,16.19944382,0
1978.61097808,350718.40625000,16.19181061,0
1978.63141032,350750.96875000,16.18869400,8192
1978.65184265,350734.03125000,16.19040871,0
1978.67227478,350713.81250000,16.20762444,8192
1978.69270701,350678.12500000,16.20445633,0
1978.71313934,350692.50000000,16.21111107,0
1978.73357147,350760.03125000,16.20506287,0
1978.75400370,350679.90625000,16.21080208,0
1978.77443603,350712.03125000,16.21468353,0
1978.79486826,350603.06250000,16.22048759,0
1978.81530039,350554.37500000,16.22197151,0
1978.83573272,350593.03125000,16.23533058,262144
1978.85616495,350572.53125000,16.23680878,0
1978.87659708,350573.50000000,16.23871231,0
1978.89702940,350588.78125000,16.23704338,16384
1978.91746163,350498.31250000,16.23138618,0
1978.93789376,350520.68750000,16.22851181,0
1978.95832608,350536.93750000,16.23633194,0
1978.97875831,350601.96875000,16.24538612,0
1978.99919043,350571.81250000,16.24963379,0
1979.01962276,350514.37500000,16.24765015,0
1979.06048710,350538.84375000,16.25852394,0
1979.08091943,350493.84375000,16.25717354,0
1979.10135165,350507.00000000,16.25523567,0
1979.12178397,350542.68750000,16.25465202,0
1979.14221609,350542.53125000,16.24903870,0
1979.16264831,350513.68750000,16.25121498,0
1979.18308053,350535.21875000,16.24844742,0
1979.20351276,350479.50000000,16.24498177,0
1979.22394497,350307.84375000,16.24459648,0
1979.24437719,350154.68750000,16.23207283,0
1979.26480941,350147.78125000,16.24280548,0
1979.28524163,350133.00000000,16.23230553,0
1979.30567385,350164.15625000,16.22225952,0
1979.32610607,350243.84375000,16.21548843,0
1979.34653828,350440.46875000,16.24235725,0
1979.36697060,350554.18750000,16.23983574,0
1979.38740272,350534.75000000,16.24255943,0
1979.40783493,350587.46875000,16.24927330,0
1979.42826725,350551.81250000,16.24974823,0
1979.44869936,350515.90625000,16.24947929,0
1979.46913158,350468.59375000,16.25432014,0
1979.48956389,350446.31250000,16.24617386,0
1979.50999600,350463.68750000,16.25583839,0
1979.53042822,350537.18750000,16.25831223,0
1979.55086053,350524.43750000,16.25217247,0
1979.57129264,350557.68750000,16.25473595,0
1979.59172495,350631.28125000,16.24912071,0
1979.61215716,350517.15625000,16.26052094,0
1979.63258937,350527.93750000,16.25580215,0
1979.65302158,350518.62500000,16.25437164,0
1979.67345379,350433.59375000,16.25194931,0
1979.69388600,350558.43750000,16.25370216,0
1979.71431821,350495.34375000,16.25480080,0
1979.73475042,350527.93750000,16.26103592,0
1979.75518263,349241.12500000,16.26712418,2048
1979.77561484,350503.87500000,16.24039650,0
1979.79604704,350520.90625000,16.23969269,0
1979.81647925,350452.53125000,16.24257660,0
1979.83691155,350416.78125000,16.24029922,0
1979.85734366,350485.06250000,16.23454094,0
1979.87777587,350521.84375000,16.23820114,0
1979.89820807,350398.31250000,16.21175575,0
1979.91864027,350453.56250000,16.23059082,0
1979.93907248,350514.25000000,16.23474121,0
1979.95950468,350544.90625000,16.22988701,0
1979.97993688,350569.03125000,16.22738075,0
1980.00036909,350598.81250000,16.22627831,0
1980.02080129,350616.59375000,16.22033691,0
1980.04123349,350535.50000000,16.21823502,0
1980.06166579,350485.18750000,16.21337128,0
1980.08209789,350548.25000000,16.21806717,0
1980.10253009,350584.09375000,16.21436882,0
1980.12296239,350526.34375000,16.21786308,0
1980.14339449,350478.84375000,16.22050667,0
1980.16382669,350494.09375000,16.21849442,0
1980.18425899,350512.34375000,16.22047806,0
1980.20469119,350608.96875000,16.22302055,0
1980.22512328,350542.87500000,16.22035408,0
1980.24555558,350478.65625000,16.21032333,0
1980.26598778,350448.90625000,16.20824814,0
1980.28641987,350603.78125000,16.21593666,0
1980.30685217,350566.37500000,16.20130157,0
1980.32728436,350536.62500000,16.21159935,0
1980.34771646,350510.50000000,16.21189880,0
1980.36814875,350314.59375000,16.20459175,0
1980.38858095,350091.81250000,16.19041443,0
1980.40901304,350050.96875000,16.17907715,0
1980.42944533,350073.65625000,16.17786407,0
1980.44987753,350040.75000000,16.17234993,0
1980.47030972,350440.46875000,16.18467712,262144
1980.49074191,350621.75000000,16.19051933,262144
1980.51117410,350636.46875000,16.18704033,0
1980.53160639,350621.00000000,16.19289017,0
1980.55203848,350626.50000000,16.18085480,0
1980.57247067,350592.71875000,16.18162918,0
1980.59290296,350656.43750000,16.17999458,0
1980.61333505,350566.31250000,16.17871666,0
