time_bkjd,pdcsap_flux,pdcsap_flux_err,sap_quality
3861.11405342,10294.34472656,14.45585060,0
3861.11544231,10296.84765625,14.43893051,0
3861.11683120,10305.52636719,14.44317341,0
3861.11822009,10315.82519531,14.45969868,0
3861.11960898,10292.88671875,14.44046497,0
3861.12099787,10287.63964844,14.43561363,0
3861.12238676,10302.90332031,14.43857670,0
3861.12377565,10334.94628906,14.44877434,0
3861.12516453,10326.06152344,14.44808865,0
3861.12655342,10339.88281250,14.46138477,0
3861.12794231,10294.75000000,14.43657303,0
3861.12933120,10320.90136719,14.44853497,0
3861.13072009,10296.80175781,14.44196129,0
3861.13210898,10289.75097656,14.44034100,0
3861.13349787,10335.66796875,14.45189476,0
3861.13488676,10324.49609375,14.45457363,0
3861.13627565,10314.49023438,14.45492363,0
3861.13766454,10309.80664062,14.44845772,0
3861.13905343,10322.61816406,14.45657063,0
3861.14044232,10310.35839844,14.44342422,0
3861.14183121,10333.03027344,14.45731831,0
3861.14322010,10326.52636719,14.45335388,0
3861.14460899,10304.38769531,14.43715954,0
3861.14599788,10311.84667969,14.44873142,0
3861.14738677,10308.83984375,14.44440269,0
3861.14877566,10287.95312500,14.44691277,0
3861.15016455,10288.34472656,14.44213963,0
3861.15155344,10317.84960938,14.45759201,0
3861.15294233,10306.87500000,14.44967651,0
3861.15433121,10334.87402344,14.46117592,0
3861.15572010,10324.98828125,14.45815182,0
3861.15710899,10318.24804688,14.45412254,0
3861.15849788,10331.87109375,14.46570587,0
3861.15988677,10290.71386719,14.44507313,0
3861.16127566,10309.39746094,14.45701027,0
3861.16266455,10332.47363281,14.46801472,0
3861.16405344,10307.11328125,14.45958805,0
3861.16544233,10294.53808594,14.45312119,0
3861.16683122,10325.20410156,14.46790218,0
3861.16822011,10315.80078125,14.46737576,0
3861.16960900,10288.97265625,14.45469856,0
3861.17099789,10282.02636719,14.44400787,0
3861.17238678,10312.98730469,14.46608067,0
3861.17377567,10291.34472656,14.45529556,0
3861.17516456,10305.06542969,14.47125721,0
3861.17655345,10330.10449219,14.47996044,0
3861.17794234,10348.04980469,14.49473763,0
3861.17933123,10313.81933594,14.47441959,0
3861.18072012,10321.90234375,14.48830605,0
3861.18210901,10311.90332031,14.46691227,0
3861.18349790,10315.41503906,14.47909164,0
3861.18488679,10311.21093750,14.47282887,0
3861.18627567,10311.52148438,14.48717308,0
3861.18766456,10311.60742188,14.48035336,0
3861.18905345,10293.73242188,14.47684765,0
3861.19044234,10304.05175781,14.47205734,0
3861.19183123,10303.18945312,14.46429253,0
3861.19322012,10305.28125000,14.47155666,0
3861.19460901,10298.70800781,14.47687149,0
3861.19599790,10284.52539062,14.47158241,0
3861.19738679,10295.52148438,14.48149395,0
3861.19877568,10325.70605469,14.48102856,0
3861.20016457,10327.31445312,14.49297810,0
3861.20155346,10326.29101562,14.48913383,0
3861.20294235,10282.09082031,14.47045135,0
3861.20433124,10321.32910156,14.49119186,0
3861.20572013,10310.91308594,14.48449326,0
3861.20710902,10318.07714844,14.49652100,0
3861.20849791,10319.13671875,14.48833179,0
3861.20988680,10328.47656250,14.49667263,0
3861.21127569,10324.19531250,14.49646473,0
3861.21266458,10327.16601562,14.49971008,0
3861.21405347,10301.12500000,14.49420166,0
3861.21544236,10306.53417969,14.48851585,0
3861.21683125,10305.96777344,14.49275398,0
