time_bkjd,pdcsap_flux,pdcsap_flux_err,sap_quality
131.51251637,35628.69921875,6.55957651,0
131.53295106,35635.92968750,6.56356144,0
131.55338565,35635.98828125,6.56296968,0
131.57382014,35634.38281250,6.56252098,0
131.59425473,35617.45703125,6.56249475,0
131.61468942,35632.38281250,6.55871820,0
131.63512391,35632.58593750,6.56057167,0
131.65555850,35635.10937500,6.56244802,0
131.67599319,35634.19921875,6.56200695,0
131.69642778,35626.26171875,6.56074905,0
131.71686227,35641.57812500,6.56051922,0
131.73729685,35620.08593750,6.55913925,0
131.75773154,35631.55078125,6.56319904,0
131.77816603,35631.87109375,6.55891800,0
131.79860062,35633.78515625,6.56118107,0
131.81903531,35637.51953125,6.56154728,0
131.83946980,35636.23437500,6.55821753,0
131.85990439,35633.28125000,6.55986977,0
131.88033898,35627.10546875,6.55973196,0
131.90077357,35622.07812500,6.55775976,0
131.92120815,35618.48828125,6.55994797,0
131.94164274,35627.78515625,6.56084108,0
131.96207733,35629.95703125,6.55754852,0
131.98251192,35618.54687500,6.55658197,0
132.00294651,35632.64843750,6.55925465,0
132.02338100,35622.97656250,6.55886221,0
132.04381568,35624.04687500,6.55846977,0
132.06425027,35626.36328125,6.55880642,0
132.08468476,35633.73046875,6.56182814,0
132.10511935,35630.22265625,6.56019688,0
132.12555403,35625.10546875,6.55719137,0
132.14598852,35625.26953125,6.55979729,0
132.16642311,35625.80078125,6.55767822,0
132.18685780,35634.20312500,6.55982351,0
132.20729238,35615.12500000,6.55733919,0
132.22772687,35612.09375000,6.55773354,0
132.24816146,35617.31640625,6.55774307,0
132.26859615,35620.93359375,6.55885506,0
132.28903063,35618.70312500,6.55923843,0
132.30946522,35637.03906250,6.55846024,0
132.32989991,35629.85937500,6.56131792,0
132.35033439,35617.29687500,6.55875397,0
132.37076898,35617.23046875,6.55921936,0
132.39120356,35626.69921875,6.56147814,0
132.41163815,35622.02734375,6.55293465,0
132.43207274,35628.19921875,6.55671597,0
132.45250732,35618.83203125,6.55540466,0
132.47294201,35630.66796875,6.55849743,8192
132.49337650,35622.02343750,6.55341101,0
132.51381108,35618.27343750,6.55356359,0
132.53424557,35623.35546875,6.55753994,0
132.55468025,35624.64453125,6.55370045,0
132.57511484,35622.05468750,6.55814123,0
132.59554932,35622.33203125,6.55760241,0
132.61598401,35618.04687500,6.55973291,0
132.63641859,35611.79296875,6.56133127,8192
132.65685318,35622.50781250,6.55616951,0
132.67728766,35610.41796875,6.56084967,0
132.69772235,35624.85937500,6.55925751,0
132.71815693,35618.22656250,6.55606127,0
132.73859142,35614.54296875,6.55953217,0
132.75902610,35618.05859375,6.55709267,0
132.77946069,35612.42187500,6.56188011,0
132.79989517,35643.07812500,6.55767345,0
132.82032976,35619.30468750,6.55980015,0
132.84076444,35621.08203125,6.56230879,0
132.86119893,35622.76171875,6.55663300,0
132.88163351,35611.33203125,6.55535460,0
132.90206819,35632.06250000,6.55880690,0
132.92250268,35620.30078125,6.56368446,0
132.94293726,35618.23828125,6.56157160,0
132.96337185,35614.30078125,6.55951595,0
132.98380653,35621.32031250,6.56289339,0
133.00424101,35619.51953125,6.56193256,0
133.02467560,35611.57031250,6.56354761,0
133.04511018,35620.80859375,6.56121397,0
133.06554476,35616.29687500,6.56392860,0
133.08597935,35618.18359375,6.56395817,0
133.10641393,35630.60546875,6.55958271,0
133.12684851,35613.31640625,6.56590176,0
133.14728309,35625.32031250,6.55960560,0
133.16771768,35606.69140625,6.56499386,0
133.18815226,35616.60937500,6.56069231,0
133.20858694,35630.08593750,6.56758261,0
133.22902142,35615.91406250,6.56508255,0
133.24945601,35617.95703125,6.56643391,0
133.26989059,35609.44140625,6.56510258,0
133.29032517,35607.44921875,6.56126499,0
133.31075975,35596.01562500,6.56466150,0
133.33119424,35594.09375000,6.56590509,0
133.35162892,35608.66015625,6.56127787,8192
133.37206350,35610.32421875,6.56437016,0
133.39249808,35628.75000000,6.56422663,0
133.41293266,35617.44140625,6.56609678,0
133.43336724,35626.74609375,6.56488991,0
133.45380182,35611.01562500,6.56686783,0
133.47423631,35633.18750000,6.56582975,0
133.49467099,35620.53906250,6.56665468,0
133.51510557,35675.78125000,6.58017254,2176
133.53554005,35639.85156250,6.56688643,0
133.55597473,35611.38671875,6.56697941,0
133.57640931,35613.53125000,6.56696749,8192
133.59684379,35609.49609375,6.56384039,0
133.61727837,35615.40625000,6.56577110,0
133.63771305,35619.35937500,6.56709051,0
133.65814763,35622.02343750,6.56917381,0
133.67858211,35631.24609375,6.56797647,0
133.69901679,35618.12500000,6.56695080,0
133.71945137,35613.82812500,6.56690550,0
133.73988585,35620.98828125,6.56851530,0
133.76032043,35615.64062500,6.56812906,0
133.78075511,35618.55078125,6.56729937,0
133.80118959,35620.94140625,6.56874561,0
133.82162417,35614.33593750,6.56824255,0
133.84205875,35616.68750000,6.56863546,0
133.86249333,35620.46875000,6.57019091,0
133.88292791,35614.73437500,6.56780052,0
133.90336249,35625.81640625,6.57004881,0
133.92379707,35616.19921875,6.56920290,0
133.94423165,35605.60156250,6.56894970,0
133.96466623,35614.43750000,6.56607580,0
133.98510071,35622.19140625,6.56729698,0
134.00553538,35622.08593750,6.56814337,0
134.02596996,35603.45312500,6.56830359,0
134.04640444,35613.76953125,6.56863165,0
134.06683912,35608.53515625,6.56721449,0
134.08727370,35608.60546875,6.56661654,0
134.10770818,35600.94921875,6.56521893,0
134.12814275,35601.80078125,6.56608677,0
134.14857743,35613.22265625,6.56749821,0
134.16901201,35617.56640625,6.56761646,0
134.18944649,35624.55859375,6.57084942,0
134.20988116,35610.33984375,6.56844854,0
134.23031574,35617.18359375,6.56759548,0
134.25075022,35602.49218750,6.57058954,0
134.27118480,35624.21484375,6.56877136,0
134.29161947,35615.57421875,6.56963825,0
134.31205395,35615.87109375,6.57011938,0
134.33248853,35613.69531250,6.57082415,0
134.35292321,35610.84375000,6.56676674,0
134.37335768,35616.94140625,6.56880856,0
134.41422684,35622.01953125,6.57273197,0
134.43466141,35617.62890625,6.57212162,0
134.45509599,35613.33203125,6.56874132,0
134.47553056,35616.80468750,6.57207632,0
134.49596524,35616.91796875,6.57247782,0
134.51639972,35624.87109375,6.57242203,0
134.53683429,35618.02734375,6.57032394,0
134.55726877,35618.90234375,6.57122755,0
134.57770344,35636.31250000,6.57410240,0
134.59813802,35622.40625000,6.57273817,0
134.61857250,35606.77734375,6.56916142,0
134.63900707,35610.79687500,6.57220745,0
134.65944175,35618.30859375,6.57187462,0
134.67987632,35621.21484375,6.57369518,0
134.70031090,35617.04296875,6.57253838,0
134.72074547,35624.76562500,6.57326651,0
134.74118005,35622.95703125,6.57303476,0
134.76161452,35615.11328125,6.57318687,0
134.78204910,35595.54687500,6.57232857,0
134.80248377,35620.90625000,6.57144070,0
134.82291834,35626.64453125,6.57384300,0
134.84335282,35617.39453125,6.57210779,0
134.86378749,35616.27343750,6.57418585,0
134.88422207,35610.79687500,6.57286453,0
134.90465664,35618.03906250,6.57381392,0
134.92509112,35601.46093750,6.57215691,0
134.94552579,35613.26171875,6.57199717,0
134.96596036,35616.41796875,6.57396793,0
134.98639484,35620.63671875,6.57437658,0
135.00682951,35624.15234375,6.57500315,0
135.02726408,35610.32812500,6.57412815,0
135.04769856,35619.13281250,6.57412004,0
135.06813313,35613.00000000,6.57471228,0
135.08856780,35630.44140625,6.57472563,0
135.10900228,35613.07812500,6.57387590,0
135.12943685,35612.56250000,6.57422447,0
135.14987152,35618.70703125,6.57274532,0
135.17030609,35613.57812500,6.57367420,0
135.19074057,35608.74218750,6.57234526,0
135.21117514,35624.58203125,6.57516241,0
135.23160981,35601.53515625,6.57321692,0
135.25204428,35621.33984375,6.57311487,0
135.27247886,35619.98437500,6.57340670,0
135.29291333,35627.45312500,6.57411146,0
135.31334800,35624.06250000,6.57425261,0
135.33378257,35606.21484375,6.57261562,0
135.35421704,35617.70703125,6.57478094,0
135.37465171,35614.50390625,6.57304335,0
135.39508629,35609.85156250,6.57303381,0
135.41552086,35603.79296875,6.57376862,0
135.43595533,35612.26953125,6.57391977,0
135.45639000,35610.89843750,6.57312632,0
135.47682457,35618.39843750,6.57380486,0
135.49725904,35626.26953125,6.57507277,0
135.51769371,35619.87500000,6.57344627,8192
135.53812828,35638.69531250,6.57523727,0
135.55856275,35611.05859375,6.57374716,0
135.57899732,35612.26171875,6.57265663,0
135.59943199,35614.76562500,6.57200575,0
135.61986646,35622.00000000,6.57345915,0
135.64030103,35609.78906250,6.57443333,0
135.66073570,35619.68359375,6.57439041,0
135.68117027,35614.02343750,6.57478523,0
135.70160474,35632.67187500,6.57416391,0
135.72203931,35613.61718750,6.57355309,0
135.74247398,35618.53906250,6.57406998,0
135.76290845,35611.18750000,6.57227421,0
135.78334302,35616.01953125,6.57151604,0
135.80377769,35616.41015625,6.57386732,0
135.82421216,35612.80078125,6.57500744,0
135.84464673,35628.73046875,6.57475424,0
135.86508130,35617.14062500,6.57411861,0
135.88551587,35605.97265625,6.57423210,0
135.90595044,35612.60156250,6.57490635,0
