time_bkjd,pdcsap_flux,pdcsap_flux_err,sap_quality
131.51206854,1506894.00000000,30.48352814,0
131.53250293,1506888.25000000,30.51144218,0
131.55293722,1506977.87500000,30.49812698,0
131.57337141,1506882.00000000,30.51114082,0
131.59380570,1506880.75000000,30.53825188,0
131.61424009,1507029.50000000,30.51658058,0
131.63467428,1506993.75000000,30.50348282,0
131.65510857,1506892.50000000,30.52614594,0
131.67554296,1506897.25000000,30.49233437,0
131.69597725,1506974.25000000,30.53475761,0
131.71641143,1506973.12500000,30.50831223,8192
131.73684572,1507035.87500000,30.53591156,0
131.75728011,1507011.62500000,30.51406479,0
131.77771430,1506925.25000000,30.51721764,0
131.79814859,1506935.87500000,30.52285576,0
131.81858298,1506949.50000000,30.52720451,0
131.83901717,1506905.87500000,30.51632118,0
131.85945146,1507093.75000000,30.52999115,0
131.87988575,1507051.00000000,30.51720428,0
131.90032004,1506996.50000000,30.49798393,0
131.92075433,1506916.12500000,30.46088219,8192
131.94118862,1506937.87500000,30.53108215,0
131.96162290,1506971.87500000,30.54040146,0
131.98205719,1506944.62500000,30.54390335,0
132.00249148,1506932.50000000,30.52319336,0
132.02292567,1506991.75000000,30.52800941,0
132.04336006,1506944.75000000,30.51563644,0
132.06379435,1506946.25000000,30.51112747,0
132.08422854,1506954.00000000,30.51486015,0
132.10466283,1506921.00000000,30.51208878,0
132.12509721,1506917.37500000,30.52189827,0
132.14553140,1506989.75000000,30.55249405,0
132.16596569,1506912.87500000,30.54454803,0
132.18640008,1507003.25000000,30.51725388,0
132.20683437,1506937.25000000,30.52992630,0
132.22726856,1506895.87500000,30.53523636,0
132.24770284,1506952.37500000,30.53004456,0
132.26813723,1506999.50000000,30.49795151,0
132.28857142,1507043.00000000,30.52162361,0
132.30900571,1507034.75000000,30.51310158,0
132.32944010,1506942.87500000,30.53282547,8192
132.34987429,1506903.87500000,30.53726768,0
132.37030857,1506903.87500000,30.52095032,0
132.39074286,1506911.62500000,30.52531242,0
132.41117715,1506989.50000000,30.53340721,0
132.43161144,1506962.62500000,30.52654076,0
132.45204573,1506957.25000000,30.52981567,0
132.47248011,1506977.75000000,30.54779053,0
132.49291430,1506993.00000000,30.54091263,0
132.51334859,1507022.75000000,30.52433777,0
132.53378278,1506919.62500000,30.52553177,8192
132.55421716,1506897.75000000,30.54184532,0
132.57465145,1506936.50000000,30.54329491,0
132.59508564,1507079.37500000,30.54181862,0
132.61552003,1506916.12500000,30.54230118,0
132.63595431,1506984.87500000,30.55052567,0
132.65638860,1506970.62500000,30.55405426,0
132.67682279,1506935.37500000,30.52157593,0
132.69725718,1506926.37500000,30.53410149,8192
132.71769146,1507014.62500000,30.51991272,0
132.73812565,1506828.62500000,30.51831627,0
132.75856004,1506941.87500000,30.53893471,0
132.77899433,1506959.50000000,30.52715683,0
132.79942851,1506904.12500000,30.51277351,8192
132.81986280,1506964.12500000,30.51680183,0
132.84029719,1507010.62500000,30.52251816,128
132.86073137,1506951.12500000,30.50360489,0
132.88116566,1506930.62500000,30.51599312,0
132.90160005,1506981.87500000,30.52054024,0
132.92203424,1506904.00000000,30.50501823,0
132.94246852,1506873.25000000,30.52629852,0
132.96290281,1506887.75000000,30.51619720,0
132.98333720,1506798.37500000,30.52239227,0
133.00377138,1506953.37500000,30.53439713,0
133.02420567,1506996.37500000,30.52371597,0
133.04463996,1506796.62500000,30.53054619,0
133.06507424,1506882.25000000,30.54073524,0
133.08550853,1506926.75000000,30.55106926,0
133.10594282,1506944.62500000,30.55282593,0
133.12637710,1506869.25000000,30.53013802,0
133.14681139,1506918.62500000,30.54040146,0
133.16724568,1507015.00000000,30.52700233,0
133.18767996,1507081.00000000,30.54470825,0
133.20811435,1506973.37500000,30.53446198,0
133.22854853,1506987.37500000,30.55608940,0
133.24898282,1507027.37500000,30.55817032,0
133.26941711,1506981.62500000,30.55865097,0
133.28985139,1506876.00000000,30.55494308,0
133.31028568,1506891.62500000,30.55944061,0
133.33071986,1506957.12500000,30.55727005,0
133.35115425,1506951.62500000,30.55999947,0
133.37158854,1506889.25000000,30.53605843,0
133.39202282,1506904.62500000,30.54940796,0
133.41245711,1506931.00000000,30.56163216,0
133.43289139,1506989.25000000,30.54741287,0
133.45332568,1506986.50000000,30.54239845,0
133.47375987,1506857.12500000,30.54485703,0
133.49419425,1506874.75000000,30.54264832,0
133.51462854,1506962.62500000,30.54711533,0
133.53506272,1507005.12500000,30.54421043,0
133.55549711,1507040.12500000,30.52458382,0
133.57593139,1507021.87500000,30.54317856,0
133.59636558,1506951.37500000,30.55003548,0
133.61679987,1506960.37500000,30.55180168,8192
133.63723425,1506953.75000000,30.54389954,0
133.65766854,1506976.50000000,30.56160545,8192
133.67810272,1506957.12500000,30.56079292,0
133.69853711,1506949.12500000,30.55998611,0
133.71897139,1506954.00000000,30.56180954,0
133.73940558,1506904.75000000,30.54608917,0
133.75983986,1506884.62500000,30.56383324,0
133.78027425,1506918.00000000,30.57151604,0
133.80070843,1506923.12500000,30.55162430,0
133.82114272,1507010.62500000,30.56783676,0
133.84157700,1506953.75000000,30.54894066,8192
133.86201129,1506946.25000000,30.54692268,8192
133.88244557,1506925.00000000,30.56752396,0
133.90287986,1506957.12500000,30.56799126,0
133.92331414,1506962.50000000,30.57018471,0
133.94374843,1506997.12500000,30.56903648,0
133.96418271,1507010.37500000,30.54689217,0
133.98461689,1506965.25000000,30.56717873,0
134.00505128,1506902.50000000,30.56900597,0
134.02548556,1506943.50000000,30.55491257,0
134.04591975,1506933.12500000,30.57130241,0
134.06635413,1506942.50000000,30.55618668,8192
