time_bkjd,pdcsap_flux,pdcsap_flux_err,sap_quality
131.51219888,16355.08984375,4.91631460,0
131.53263357,16359.90722656,4.91774130,0
131.55306816,16361.55175781,4.91828680,0
131.57350265,16372.92285156,4.91424131,0
131.59393724,16370.54492188,4.91695690,0
131.61437193,16371.65917969,4.91640472,0
131.63480641,16361.81054688,4.91337061,0
131.65524100,16371.44921875,4.91688824,0
131.67567569,16365.88183594,4.92010069,0
131.69611028,16364.68261719,4.91801786,0
131.71654477,16368.18652344,4.91863108,0
131.73697936,16366.08398438,4.91919422,0
131.75741404,16373.93847656,4.91449261,0
131.77784853,16369.64160156,4.91797781,0
131.79828312,16373.53027344,4.91829491,0
131.81871781,16366.51953125,4.91893959,8320
131.83915230,16374.29492188,4.91775322,0
131.85958688,16374.52929688,4.91956329,0
131.88002147,16381.32031250,4.92118073,0
131.90045606,16383.61230469,4.91946840,0
131.92089065,16371.46484375,4.91890812,0
131.94132523,16386.17968750,4.92296553,0
131.96175982,16376.79296875,4.92019129,0
131.98219441,16372.49218750,4.91793299,0
132.00262900,16368.78417969,4.91858768,0
132.02306348,16373.90527344,4.92075968,0
132.04349817,16369.15527344,4.92144442,0
132.06393276,16371.76171875,4.91965675,0
132.08436725,16398.97265625,4.92498064,128
132.10480183,16379.57128906,4.92066956,0
132.12523652,16376.53125000,4.92131233,0
132.14567101,16382.84863281,4.92075586,0
132.16610559,16377.94238281,4.91835737,0
132.18654028,16376.47460938,4.92085743,0
132.20697487,16379.40625000,4.92015934,0
132.22740936,16377.25976562,4.91973305,0
132.24784394,16381.24023438,4.92195129,0
132.26827863,16385.76757812,4.92165089,0
132.28871312,16387.43164062,4.92453957,0
132.30914770,16382.26171875,4.92116117,0
132.32958239,16380.30371094,4.92432117,0
132.35001688,16373.92773438,4.92416620,0
132.37045146,16379.23437500,4.92088032,0
132.39088605,16390.34765625,4.92203951,0
132.41132063,16392.94140625,4.92118883,0
132.43175522,16388.66796875,4.92414093,0
132.45218981,16384.00585938,4.92316437,0
132.47262449,16386.13671875,4.92172384,0
132.49305898,16388.68750000,4.92103052,0
132.51349357,16387.21289062,4.92214012,0
132.53392805,16376.38085938,4.92282629,0
132.55436274,16382.48632812,4.92239141,0
132.57479732,16383.29882812,4.92274952,0
132.59523181,16390.79101562,4.92401695,0
132.61566649,16387.38867188,4.92552805,0
132.63610108,16389.66406250,4.92675686,0
132.65653567,16384.44140625,4.92558002,0
132.67697015,16391.18359375,4.92654037,0
132.69740484,16388.56250000,4.92539167,0
132.71783942,16396.68359375,4.92531633,0
132.73827391,16395.06835938,4.92609978,0
132.75870859,16380.32812500,4.92707253,0
132.77914318,16390.61328125,4.92637253,0
132.79957766,16392.57812500,4.92323685,0
132.82001225,16384.76171875,4.92568445,0
132.84044693,16382.41796875,4.92493916,0
132.86088142,16394.67773438,4.92368174,0
132.88131600,16396.89257812,4.92601252,0
132.90175069,16394.22460938,4.92174006,0
132.92218517,16397.28320312,4.92736816,0
132.94261976,16394.03906250,4.92484331,0
132.96305434,16385.37304688,4.92678976,0
132.98348903,16392.53906250,4.92836905,0
133.00392351,16383.54882812,4.92430496,0
133.02435810,16387.48242188,4.93029213,0
133.04479268,16391.11718750,4.92762280,0
133.06522727,16392.79492188,4.93003368,0
133.08566185,16386.99609375,4.93122149,0
133.10609643,16387.65625000,4.92862701,0
133.12653102,16396.08593750,4.92833757,0
133.14696560,16390.95312500,4.93089104,0
133.16740019,16392.58984375,4.93046951,0
133.18783477,16401.60546875,4.93286943,0
133.20826946,16384.31640625,4.92717266,0
133.22870394,16399.08398438,4.93359852,0
133.24913852,16392.01757812,4.92876673,0
133.26957311,16396.08203125,4.92973709,0
133.29000769,16394.33203125,4.93032885,0
133.31044227,16402.56054688,4.93316412,0
133.33087676,16402.63671875,4.93278408,0
133.35131144,16398.15234375,4.92925501,0
133.37174603,16398.52539062,4.92444611,0
133.39218061,16399.52148438,4.92790508,0
133.41261519,16390.40234375,4.92578793,0
133.43304978,16389.44531250,4.92386770,0
133.45348436,16393.06054688,4.92915297,0
133.47391884,16398.64648438,4.92690849,0
133.49435352,16395.64062500,4.93020296,0
133.51478811,16400.84765625,4.92952681,0
133.53522259,16397.06640625,4.92791653,0
133.55565727,16400.46679688,4.92896891,128
133.57609186,16406.51757812,4.92837906,0
133.59652634,16414.69921875,4.92986870,0
133.61696092,16396.49804688,4.92899609,0
133.63739560,16398.13671875,4.92860079,0
133.65783019,16402.08593750,4.93027544,0
133.67826467,16408.74023438,4.92934132,0
133.69869935,16400.99414062,4.92450094,0
133.71913393,16410.99218750,4.93024731,0
133.73956842,16398.36328125,4.92984200,0
133.76000300,16391.10351562,4.92990828,0
133.78043768,16405.02734375,4.92668772,0
133.80087216,16406.22460938,4.92998981,0
133.82130675,16400.64062500,4.92972088,0
133.84174133,16391.50781250,4.93209124,0
133.86217591,16404.10351562,4.93275452,0
133.88261049,16404.76562500,4.93047094,0
133.90304507,16412.06835938,4.93362284,0
133.92347966,16407.39453125,4.93170738,0
133.94391424,16397.41601562,4.93119335,0
133.96434882,16398.18750000,4.93208742,0
133.98478330,16408.18750000,4.93060112,0
134.00521798,16396.65429688,4.93166685,0
134.02565256,16402.26367188,4.92972565,0
134.04608704,16397.44921875,4.93165588,0
134.06652173,16402.07226562,4.93189192,0
134.08695631,16410.00390625,4.93346167,128
134.10739079,16400.53906250,4.93328476,0
134.12782537,16379.53320312,4.93055010,0
134.14826005,16376.50488281,4.92896271,0
134.16869463,16370.06054688,4.92829514,0
134.18912911,16381.15917969,4.93018532,0
134.20956379,16397.53710938,4.93120480,0
134.22999837,16405.77343750,4.93140459,0
134.25043285,16407.56640625,4.93308735,0
134.27086744,16408.96679688,4.93170881,0
134.29130212,16401.45117188,4.93117619,0
134.31173660,16400.81445312,4.93260336,0
134.33217118,16409.87695312,4.93487549,128
134.35260586,16399.89648438,4.93201399,0
134.37304034,16408.86914062,4.93068981,0
134.41390950,16411.57421875,4.93418646,0
134.43434408,16407.75000000,4.93167067,0
134.45477866,16415.67578125,4.93450069,0
134.47521324,16395.86328125,4.93352842,0
134.49564792,16403.64257812,4.93450356,0
134.51608240,16403.25195312,4.93349600,0
134.53651698,16407.22265625,4.93224335,0
134.55695146,16397.53906250,4.93414783,0
