time_bkjd,pdcsap_flux,pdcsap_flux_err,sap_quality
131.51231678,99404.57031250,9.24060154,0
131.53275113,99383.88281250,9.24186611,0
131.55318539,99392.61718750,9.24187756,0
131.57361955,99387.16406250,9.24252415,0
131.59405380,99379.53906250,9.24394798,0
131.61448816,99379.21093750,9.23982239,0
131.63492231,99381.39843750,9.24331665,0
131.65535657,99367.10156250,9.24602795,0
131.67579093,99386.59375000,9.24612713,0
131.69622518,99382.78125000,9.24205971,0
131.71665934,99396.41406250,9.24646473,0
131.73709360,99405.30468750,9.24434853,0
131.75752795,99380.53125000,9.24258518,0
131.77796211,99377.42968750,9.23869419,0
131.79839636,99371.21093750,9.24120045,0
131.81883072,99392.37500000,9.23828220,0
131.83926487,99383.06250000,9.24030495,0
131.85969913,99382.98437500,9.23975277,0
131.88013339,99376.48437500,9.23981571,0
131.90056764,99394.23437500,9.24081612,0
131.92100190,99373.46093750,9.24660683,0
131.94143615,99386.93750000,9.24251080,0
131.96187041,99376.45312500,9.23793411,0
131.98230466,99375.21093750,9.24311543,0
132.00273892,99376.18750000,9.24296665,0
132.02317307,99378.93750000,9.24767590,0
132.04360743,99395.55468750,9.24292660,0
132.06404168,99377.06250000,9.24105835,0
132.08447584,99390.72656250,9.24483204,0
132.10491009,99371.61718750,9.24205780,0
132.12534445,99379.21875000,9.23911953,0
132.14577860,99374.67968750,9.24607754,0
132.16621286,99382.40625000,9.24114513,0
132.18664721,99390.00781250,9.24193954,0
132.20708146,99391.94531250,9.24123859,128
132.22751562,99388.35937500,9.24387741,0
132.24794987,99387.20312500,9.24120140,0
132.26838423,99395.07812500,9.24364853,0
132.28881838,99402.82812500,9.24823570,0
132.30925264,99398.17968750,9.24744225,0
132.32968699,99406.69531250,9.24789619,0
132.35012114,99379.70312500,9.24700737,0
132.37055540,99388.30468750,9.24330997,128
132.39098965,99370.02343750,9.24037743,0
132.41142391,99391.92187500,9.24354267,0
132.43185816,99389.28125000,9.24301624,0
132.45229241,99394.39062500,9.24355507,0
132.47272677,99382.06250000,9.24516869,0
132.49316092,99408.05468750,9.24001598,0
132.51359517,99389.00781250,9.24074364,0
132.53402933,99372.13281250,9.24291039,0
132.55446368,99380.52343750,9.23832798,0
132.57489793,99390.29687500,9.23824024,0
132.59533209,99394.32812500,9.24281406,0
132.61576644,99393.29687500,9.24751472,0
132.63620069,99380.95312500,9.24292374,0
132.65663495,99397.37500000,9.24337101,0
132.67706910,99397.30468750,9.23937798,8192
132.69750345,99391.51562500,9.24449444,0
132.71793770,99382.46875000,9.24530506,0
132.73837186,99391.09375000,9.24307060,0
132.75880621,99385.18750000,9.24338150,0
132.77924046,99386.28125000,9.23880386,0
132.79967461,99411.28906250,9.23905945,0
132.82010887,99392.12500000,9.23998451,0
132.84054322,99388.67187500,9.24146366,128
132.86097737,99387.91406250,9.24146938,0
132.88141162,99404.04687500,9.24203587,0
132.90184598,99393.85937500,9.24123669,0
132.92228013,99400.50000000,9.24205589,0
132.94271438,99377.63281250,9.24194431,0
132.96314863,99386.69531250,9.24238300,0
132.98358298,99399.16406250,9.24358273,0
133.00401714,99374.89062500,9.24311256,0
133.02445139,99385.44531250,9.24519157,0
133.04488564,99384.03125000,9.24301529,0
133.06531989,99368.11718750,9.24725151,0
133.08575414,99378.25781250,9.24679661,0
133.10618839,99388.66406250,9.25020885,0
133.12662264,99390.57031250,9.25025463,0
133.14705690,99395.53125000,9.24716759,0
133.16749115,99393.42187500,9.24403572,0
133.18792540,99375.47656250,9.24430943,0
133.20835975,99386.07031250,9.24905586,0
133.22879390,99403.89843750,9.24868011,0
133.24922815,99405.10937500,9.25045395,0
133.26966240,99402.36718750,9.24516392,0
133.29009665,99389.93750000,9.24583435,0
133.31053090,99407.84375000,9.24872684,0
133.33096505,99393.67187500,9.24671555,0
133.35139941,99397.91406250,9.25081158,0
133.37183366,99396.55468750,9.25330162,0
133.39226791,99397.34375000,9.25389099,128
133.41270216,99378.23437500,9.24966908,0
133.43313641,99394.47656250,9.25209808,0
133.45357066,99408.90625000,9.25084400,0
133.47400481,99395.39062500,9.25179958,0
133.49443916,99404.23437500,9.25087070,0
133.51487341,99398.90625000,9.25150299,0
133.53530756,99375.92187500,9.25225544,0
133.55574191,99393.07031250,9.25043678,0
133.57617616,99392.34375000,9.24936962,0
133.59661031,99398.69531250,9.25246811,8192
133.61704456,99405.97656250,9.25045967,0
133.63747891,99395.27343750,9.25270557,0
133.65791316,99398.77343750,9.25056648,8192
133.67834731,99434.50781250,9.25217247,128
133.69878165,99406.27343750,9.25194073,0
133.71921590,99404.67968750,9.25204277,0
133.73965005,99400.10937500,9.25326538,0
133.76008430,99388.94531250,9.24914742,0
133.78051865,99388.52343750,9.25440311,0
133.80095280,99402.97656250,9.25077629,0
133.82138705,99388.10156250,9.25199223,0
133.84182130,99402.12500000,9.25175095,0
133.86225555,99402.33593750,9.24951077,0
133.88268980,99400.25000000,9.25186825,0
133.90312404,99394.31250000,9.25012016,0
133.92355829,99403.82812500,9.24912262,0
133.94399254,99407.07031250,9.25285149,0
133.96442679,99406.06250000,9.25291824,0
133.98486094,99401.88281250,9.25383759,0
134.00529529,99396.88281250,9.25102711,0
134.02572954,99393.71093750,9.25203896,0
134.04616368,99400.82031250,9.25280476,0
134.06659803,99403.90625000,9.25142097,128
134.08703228,99399.39843750,9.25402927,0
134.10746643,99407.12500000,9.25161839,0
134.12790068,99388.50000000,9.25217152,0
134.14833502,99411.17187500,9.25218105,0
134.16876927,99409.68750000,9.25224209,0
134.18920342,99393.50781250,9.25063515,0
134.20963777,99399.03906250,9.25160694,0
134.23007201,99392.88281250,9.25345516,0
134.25050616,99395.34375000,9.24984741,0
134.27094041,99400.89062500,9.25459385,8192
134.29137476,99397.69531250,9.25069141,0
134.31180890,99402.25781250,9.25428867,0
134.33224315,99404.07031250,9.25316811,8192
134.35267750,99398.28125000,9.25263691,0
134.37311164,99402.33593750,9.25559139,0
134.41398014,99413.69531250,9.25531960,0
134.43441439,99386.48437500,9.25524998,0
134.45484863,99404.25000000,9.25516129,0
134.47528288,99399.77343750,9.25333309,0
134.49571722,99371.14062500,9.25011921,0
134.51615137,99386.90625000,9.25036049,0
134.53658562,99406.13281250,9.25450516,8192
134.55701976,99435.92187500,9.25134087,0
134.57745411,99401.43750000,9.24850178,0
134.59788836,99397.35156250,9.24988747,0
134.61832250,99408.40625000,9.24967098,8192
134.63875675,99376.21875000,9.24442577,0
134.65919109,99392.28125000,9.24673939,0
134.67962534,99413.62500000,9.24893761,0
134.70005959,99399.38281250,9.25233173,0
134.72049383,99395.00781250,9.24997711,0
134.74092808,99400.03125000,9.25182819,0
134.76136222,99395.18750000,9.25253010,0
134.78179647,99396.25781250,9.25126839,0
134.80223081,99386.73437500,9.25299263,0
134.82266506,99408.41406250,9.25475311,0
134.84309921,99408.36718750,9.25341034,0
134.86353355,99413.82812500,9.25378513,0
134.88396780,99398.65625000,9.25461292,0
134.90440204,99392.95312500,9.25442314,0
134.92483619,99389.16406250,9.25484276,8192
134.94527053,99406.54687500,9.25645638,0
134.96570478,99386.48437500,9.25461960,0
134.98613892,99404.73437500,9.25600529,0
135.00657326,99400.41406250,9.25599480,0
135.02700751,99382.10156250,9.25526047,0
135.04744165,99404.69531250,9.25501156,0
135.06787590,99389.92187500,9.25588131,0
135.08831024,99400.55468750,9.25562382,0
135.10874439,99392.05468750,9.25507164,0
135.12917863,99388.90625000,9.25520897,0
135.14961298,99398.13281250,9.25601578,0
135.17004722,99381.30468750,9.25501728,0
135.19048136,99375.06250000,9.25476360,0
135.21091561,99403.40625000,9.25558281,0
135.23134995,99423.85937500,9.25736332,0
135.25178409,99399.53906250,9.25721645,0
135.27221834,99379.28906250,9.25519371,0
135.29265248,99400.42187500,9.25577450,0
135.31308683,99398.60937500,9.25619984,0
135.33352107,99393.87500000,9.25535870,8192
135.35395521,99392.85156250,9.25615215,0
135.37438956,99399.32812500,9.25701523,0
135.39482380,99386.10937500,9.25599003,8192
135.41525804,99391.67968750,9.25737095,8192
135.43569218,99380.03125000,9.25569916,0
135.45612653,99403.88281250,9.25716972,0
135.47656077,99389.02343750,9.25615788,0
135.49699491,99376.75000000,9.25403595,0
135.51742926,99392.89062500,9.25658512,0
135.53786350,99385.05468750,9.25523663,0
135.55829764,99390.57031250,9.25438404,0
135.57873188,99388.96875000,9.25649166,0
135.59916623,99376.89843750,9.25629330,0
135.61960037,99363.32031250,9.25323486,0
135.64003461,99362.70312500,9.25323868,0
135.66046895,99372.64062500,9.25480366,0
135.68090320,99395.16406250,9.25619698,0
135.70133734,99382.98437500,9.25619602,0
135.72177158,99378.77343750,9.25624561,0
135.74220592,99406.72656250,9.25654125,0
135.76264006,99390.50781250,9.25692940,0
135.78307431,99358.61718750,9.25332832,128
135.80350865,99382.30468750,9.25646591,8192
135.82394279,99376.82812500,9.25496578,0
135.84437703,99406.23437500,9.25565338,0
135.86481127,99394.24218750,9.25694275,0
135.88524551,99402.40625000,9.25601101,0
135.90567975,99390.54687500,9.25465870,128
135.92611399,99375.00000000,9.25331879,0
135.94654814,99390.21875000,9.25426960,0
135.96698248,99405.15625000,9.25354481,0
135.98741672,99365.39843750,9.25174713,0
136.00785086,99403.92187500,9.25466633,0
136.02828520,99357.47656250,9.25039387,128
136.04871944,99401.99218750,9.25695992,0
136.06915358,99387.43750000,9.25580311,0
136.08958782,99398.43750000,9.25722790,0
136.11002216,99376.43750000,9.25284195,0
136.13045640,99398.79687500,9.25443172,0
136.15089054,99390.64843750,9.25472069,0
136.17132488,99403.98437500,9.25627804,0
136.19175912,99384.43750000,9.25545406,0
136.21219326,99389.46875000,9.25411987,0
136.23262750,99397.38281250,9.25510216,0
