kepoi_name,kepid,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_period,koi_time0bk,koi_impact,koi_duration,koi_depth,koi_prad,koi_sma,koi_incl,koi_steff,koi_slogg,koi_srad,koi_smass
"K00002.01",10666592,"Kepler-2 b","CONFIRMED","CANDIDATE",1.0000,2.204735417,121.3585417,0.224,3.88864,6674.7,16.1,0.0376,87.21,6440.00,4.019,1.9520,1.4490
"K00778.01",11853255,"Kepler-674 b","CONFIRMED","CANDIDATE",1.0000,2.243380573,170.679233,0.915,1.1196,821.7,1.99,0.028,82.88,4149.00,4.698,0.5640,0.5780
"K00780.01",11918099,"Kepler-675 b","CONFIRMED","CANDIDATE",1.0000,2.337437946,171.761982,0.28,1.9982,971.2,2.34,0.0325,88.19,5005.00,4.595,0.7650,0.8500
"K00001.01",11446443,"Kepler-1 b","CONFIRMED","CANDIDATE",0.8110,2.470613377,122.763305,0.818,1.74319,14230.9,13.04,0.0354,84.41,5820.00,4.457,0.9640,0.9710
"K00755.01",10854555,"Kepler-664 b","CONFIRMED","CANDIDATE",1.0000,2.525591777,171.59555,0.701,1.6545,603.3,2.75,0.0374,85.41,6031.00,4.438,1.0460,1.0950
"K00794.01",2713049,"Kepler-683 b","CONFIRMED","CANDIDATE",1.0000,2.539183147,169.67494,0.238,2.4282,382.1,2.06,0.0355,88.28,5519.00,4.350,1.0620,0.9210
"K00756.03",10872983,"Kepler-228 b","CONFIRMED","CANDIDATE",0.9920,2.56658897,179.55437,0.755,2.429,226.5,1.59,0.0374,82.17,6046.00,4.486,0.9720,1.0530
"K00800.01",3342970,"Kepler-234 b","CONFIRMED","CANDIDATE",1.0000,2.711504086,170.03417,0.023,3.0099,837.5,3.12,0.0401,89.81,6214.00,4.442,1.0760,1.1690
"K00767.01",11414511,"Kepler-670 b","CONFIRMED","CANDIDATE",1.0000,2.816504904,170.9676846,0.105,2.50587,16813.7,12.21,0.0383,89.37,5532.00,4.452,0.9550,0.9410
"K00010.01",6922244,"Kepler-8 b","CONFIRMED","CANDIDATE",0.9980,3.522498429,121.1194228,0.631,3.19843,9145.7,14.59,0.0473,85.2,6225.00,4.169,1.4510,1.1320
"K00786.01",12110942,"Kepler-680 b","CONFIRMED","CANDIDATE",1.0000,3.689920099,170.36571,0.151,2.6557,426.7,1.89,0.0469,89.19,5880.00,4.518,0.9170,1.0100
"K00112.02",10984090,"Kepler-466 c","CONFIRMED","CANDIDATE",1.0000,3.709214104,133.98318,0.051,2.6302,131.1,1.16,0.0465,89.73,5833.00,4.407,1.0220,0.9740
"K00776.01",11812062,"Kepler-673 b","CONFIRMED","CANDIDATE",1.0000,3.728732147,171.793255,0.558,2.683,5226.5,6.02,0.0455,86.7,5497.00,4.577,0.8090,0.9070
"K00749.02",10601284,"Kepler-226 b","CONFIRMED","CANDIDATE",0.9800,3.94105221,136.08662,0.226,2.5984,363.3,1.7,0.046,88.88,5185.00,4.440,0.9100,0.8310
"K00766.01",11403044,"Kepler-669 b","CONFIRMED","CANDIDATE",1.0000,4.125543472,169.752585,0.597,3.1744,1487.3,4.43,0.0529,85.95,6174.00,4.417,1.1030,1.1620
"K00756.02",10872983,"Kepler-228 c","CONFIRMED","CANDIDATE",1.0000,4.13443512,172.97937,0.762,3.1402,686,2.77,0.0514,83.72,6046.00,4.486,0.9720,1.0530
"K00769.01",11460018,"Kepler-671 b","CONFIRMED","CANDIDATE",1.0000,4.280963604,171.89659,0.424,2.875,750.8,2.3,0.0503,87.72,5644.00,4.564,0.8310,0.9280
"K00787.01",12366084,"Kepler-232 b","CONFIRMED","CANDIDATE",1.0000,4.431238488,171.015,0.405,3.15,1010.9,3.25,0.0529,87.72,5714.00,4.428,1.0150,1.0070
"K00762.01",11153539,"Kepler-666 b","CONFIRMED","CANDIDATE",1.0000,4.49876511,171.34905,0.312,3.7362,460,2.1,0.0542,88,6075.00,4.486,0.9690,1.0480
"K00760.01",11138155,"Kepler-1976 b","CONFIRMED","CANDIDATE",1.0000,4.959319244,172.2585292,0.831,2.22739,9802,12.21,0.0565,86.15,5712.00,4.359,1.0820,0.9760
"K00751.01",10682541,"Kepler-663 b","CONFIRMED","CANDIDATE",1.0000,4.99677968,171.74208,0.71,2.1717,934.7,2.78,0.0559,86.9,5339.00,4.552,0.8470,0.9310
"K00749.01",10601284,"Kepler-226 c","CONFIRMED","CANDIDATE",1.0000,5.349553819,171.80694,0.092,3.0278,831,2.55,0.0563,89.62,5185.00,4.440,0.9100,0.8310
"K00115.01",9579641,"Kepler-105 b","CONFIRMED","CANDIDATE",1.0000,5.412203927,133.143089,0.787,2.9472,601.6,2.94,0.0591,85.12,5779.00,4.339,1.0870,0.9410
"K00747.01",10583066,"Kepler-661 b","CONFIRMED","CANDIDATE",1.0000,6.02930329,171.602959,0.258,1.5821,1912.7,2.85,0.0585,89.5,4537.00,4.648,0.6720,0.7610
