kepoi_name,kepid,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_period,koi_time0bk,koi_impact,koi_duration,koi_depth,koi_prad,koi_sma,koi_incl,koi_steff,koi_slogg,koi_srad,koi_smass
"K01715.01",9836959,"Kepler-1766 b","CONFIRMED","CANDIDATE",0.8550,105.0145774,228.94455,0.954,7.426,296,2.29,0.4229,88.6,5868.00,4.363,1.0420,0.9150
"K00911.02",8490993,"Kepler-722 c","CONFIRMED","CANDIDATE",0.9990,105.145959,178.367,0.964,8.593,685.4,3.43,0.4471,88.39,6077.00,4.471,0.9990,1.0770
"K01070.02",8240904,"Kepler-266 c","CONFIRMED","CANDIDATE",1.0000,107.7214092,354.19522,0.003,8.042,1396.2,4.75,0.4352,90,5529.00,4.190,1.2940,0.9470
"K01574.01",10028792,"Kepler-87 b","CONFIRMED","CANDIDATE",1.0000,114.73658,165.150671,0.595,12.0355,4850,12.28,0.4572,89.47,5597.00,3.963,1.6990,0.9690
"K01288.01",10790387,"Kepler-807 b","CONFIRMED","CANDIDATE",1.0000,117.93110803,219.704226,0.615,5.8796,8506.6,10.36,0.4884,89.74,6392.00,4.425,1.0720,1.1160
"K00157.05",6541920,"Kepler-11 g","CONFIRMED","CANDIDATE",0.9970,118.3786735,287.28744,0.011,9.5574,1083.3,3.4,0.4596,89.99,5657.00,4.364,1.0460,0.9210
"K01423.01",11177707,"Kepler-841 b","CONFIRMED","CANDIDATE",1.0000,124.4197175,150.59616,0.017,3.7197,4107,10.3,0.479,90,5066.00,3.974,1.6590,0.9450
"K01353.01",7303287,"Kepler-289 c","CONFIRMED","CANDIDATE",1.0000,125.86540191,236.659731,0.101,9.0191,12389.5,12.37,0.4913,89.95,5933.00,4.342,1.1150,0.9980
"K01335.01",4155328,"Kepler-820 b","CONFIRMED","CANDIDATE",1.0000,127.8334997,293.41845,0.416,10.914,1829.9,9.46,0.5829,89.72,6505.00,3.973,2.1700,1.6130
"K01261.01",8678594,"Kepler-799 b","CONFIRMED","CANDIDATE",1.0000,133.460999,216.04334,0.249,11.4997,5032.9,11.21,0.5167,89.84,5588.00,4.047,1.5930,1.0310
"K01001.02",1871056,"Kepler-264 c","CONFIRMED","CANDIDATE",0.9910,140.10765,216.21749,0.019,18.503,266.8,3.42,0.601,89.98,6207.00,3.963,2.0970,1.4720
"K00806.01",3832474,"Kepler-30 d","CONFIRMED","CANDIDATE",1.0000,143.2063047,154.23552,0.379,8.9302,10565.7,8.9,0.5336,89.83,5485.00,4.556,0.8670,0.9860
"K01258.03",8630788,"Kepler-281 d","CONFIRMED","CANDIDATE",0.9600,148.272013,138.00557,0.883,4.192,1707.4,4.3,0.5456,89.66,5717.00,4.538,0.8840,0.9840
"K01426.03",11122894,"Kepler-297 d","CONFIRMED","CANDIDATE",0.9990,150.0189511,224.685714,1.252,4.3823,4319.7,32.6,0.523,89.4,5618.00,4.460,0.8970,0.8460
"K01503.01",12400538,"Kepler-867 b","CONFIRMED","CANDIDATE",1.0000,150.2412582,138.29013,0.345,10.849,2378.5,4.6,0.5375,89.81,5604.00,4.451,0.9430,0.9160
"K01162.01",10528068,"Kepler-782 b","CONFIRMED","CANDIDATE",0.9990,158.6850022,173.94993,0.034,11.5372,898.3,3.08,0.5444,89.98,5751.00,4.340,1.0340,0.8520
"K01099.01",2853093,"Kepler-767 b","CONFIRMED","CANDIDATE",1.0000,161.5278347,198.00137,0,3.6734,4653.6,8.19,0.5874,90,5778.00,4.285,1.2130,1.0330
"K00119.02",9471974,"Kepler-108 c","CONFIRMED","CANDIDATE",0.9870,190.3200468,312.68498,0.812,15.284,1141.7,7.78,0.6972,89.24,5626.00,3.907,2.0570,1.2470
"K01574.02",10028792,"Kepler-87 c","CONFIRMED","CANDIDATE",0.0000,191.239133,286.22034,0.876,16.942,1061.2,6.47,0.6428,88.94,5597.00,3.963,1.6990,0.9690
"K01429.01",11030711,"Kepler-1750 b","CONFIRMED","CANDIDATE",0.9970,205.912735,252.74129,0.196,9.992,2378.8,4.68,0.6785,89.93,5644.00,4.457,0.9690,0.9810
"K00139.01",8559644,"Kepler-111 c","CONFIRMED","CANDIDATE",1.0000,224.7789355,142.095338,0.652,11.1899,3487.5,7.67,0.7456,89.71,5873.00,4.293,1.2350,1.0920
"K00881.02",7373451,"Kepler-712 c","CONFIRMED","CANDIDATE",1.0000,226.8904775,207.35971,0.731,7.558,3136.4,4.53,0.6732,89.76,5067.00,4.585,0.7500,0.7890
"K01375.01",6766634,"Kepler-1746 b","CONFIRMED","CANDIDATE",0.6770,321.2124365,206.930556,0.873,4.012,2358.6,7.25,0.9453,89.86,6018.00,4.257,1.2860,1.0900
"K01439.01",11027624,"Kepler-849 b","CONFIRMED","CANDIDATE",1.0000,394.6249514,177.84534,0.336,24.108,2013.3,7.79,1.1088,89.84,5910.00,4.030,1.7270,1.1640
"K01274.01",8800954,"Kepler-421 b","CONFIRMED","CANDIDATE",,704.962626,492.77178,0.8495,18.003,2319.1,4.53,1.4108,89.95,5305.00,4.489,0.8180,0.7530
