pl_name,hostname,pl_letter,sy_pnum,discoverymethod,disc_year,disc_facility,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_orbeccen,pl_orbincl,pl_imppar,pl_trandep,pl_trandur,st_teff,st_rad,st_mass,default_flag,tran_flag
"Kepler-78 b","Kepler-78","b",1,"Transit",2013,"Kepler",0.35500745000,0.0090100000,1.20100000,0.10714623,1.68000000,0.00528587,0.000000,75.20000,,,,5058.00,0.747500,0.779000,1,1
"Kepler-757 b","Kepler-757","b",1,"Transit",2016,"Kepler",1.02267882100,,1.36000000,0.12133107,,,,,,,1.3395000,6014.00,1.130000,1.080000,1,1
"Kepler-42 b","Kepler-42","b",3,"Transit",2011,"Kepler",1.21376720000,0.0116000000,0.78000000,0.07000000,,,,,0.711000,,,3068.00,0.170000,0.130000,1,1
"Kepler-756 b","Kepler-756","b",1,"Transit",2016,"Kepler",1.22486632200,,1.12000000,0.09991971,,,,,,,1.7027000,5282.00,0.790000,0.820000,1,1
"Kepler-755 b","Kepler-755","b",2,"Transit",2016,"Kepler",1.26909037400,,1.76000000,0.15701668,,,,,,,1.5736000,5043.00,0.770000,0.820000,1,1
"Kepler-166 d","Kepler-166","d",3,"Transit",2016,"Kepler",1.55400392800,,1.73000000,0.15434026,,,,,,,1.7696000,5350.00,0.830000,0.880000,1,1
"Kepler-9 d","Kepler-9","d",3,"Transit",2010,"Kepler",1.59285100000,0.0273000000,1.64000000,0.14600000,,,,,,,1.9700000,5777.00,1.020000,1.070000,1,1
"Kepler-412 b","Kepler-412","b",1,"Transit",2014,"Kepler",1.72086040000,0.0289700000,15.03126900,1.34100000,299.07803000,0.94100000,,80.55900,0.794200,,,5750.00,1.287000,1.167000,1,1
"Kepler-21 b","Kepler-21","b",1,"Transit",2012,"Kepler",2.78582120000,0.0434000000,1.63900000,0.14622204,7.50000000,0.02359764,0.000000,83.20000,,,,6305.00,1.902000,1.408000,1,1
"Kepler-743 b","Kepler-743","b",1,"Transit",2016,"Kepler",3.17926292100,,1.21000000,0.10794897,,,,,,,1.0248000,5486.00,0.850000,0.940000,1,1
"Kepler-6 b","Kepler-6","b",1,"Transit",2009,"Kepler",3.23469960000,0.0485200000,14.61653600,1.30400000,212.31044000,0.66800000,,88.93000,0.141000,,,5647.00,1.391000,1.209000,1,1
"Kepler-746 b","Kepler-746","b",1,"Transit",2016,"Kepler",3.48159251000,,1.11000000,0.09902757,,,,,,,1.8389000,5418.00,0.930000,0.910000,1,1
"Kepler-8 b","Kepler-8","b",1,"Transit",2010,"Kepler",3.52249910000,0.0474000000,15.87194400,1.41600000,187.51970000,0.59000000,,83.97800,0.719100,,,6213.00,1.486000,1.213000,1,1
"Kepler-773 b","Kepler-773","b",1,"Transit",2016,"Kepler",3.74910006100,,1.43000000,0.12757605,,,,,,,1.8438000,5850.00,1.010000,1.040000,1,1
"Kepler-762 b","Kepler-762","b",1,"Transit",2016,"Kepler",3.77055209800,,12.68000000,1.13123383,,,,,,,3.8277000,5944.00,1.080000,1.060000,1,1
"Kepler-491 b","Kepler-491","b",1,"Transit",2016,"Kepler",4.22538451200,,8.92000000,0.79578910,,,,,,,2.8182900,5582.00,1.030000,1.040000,1,1
"Kepler-502 b","Kepler-502","b",1,"Transit",2016,"Kepler",4.28686431000,,4.77000000,0.42555090,,,,,,,4.4231000,6125.00,1.220000,1.150000,1,1
"KOI-984 b","KOI-984","b",2,"Transit",2022,"Kepler",4.28817850000,0.0504000000,4.30000000,0.38362097,,,0.120000,,0.830000,0.22900000,1.5800000,5295.00,0.818000,0.928000,1,1
"Kepler-471 b","Kepler-471","b",1,"Transit",2016,"Kepler",5.01423457500,,14.96000000,1.33464181,,,,,,,4.6115300,6733.00,1.800000,1.490000,1,1
"Kepler-474 b","Kepler-474","b",1,"Transit",2016,"Kepler",5.66067293500,,3.06000000,0.27299491,,,,,,,4.6722000,5785.00,1.080000,0.990000,1,1
"Kepler-753 b","Kepler-753","b",1,"Transit",2016,"Kepler",5.74772501200,,1.91000000,0.17039879,,,,,,,1.8222000,4346.00,0.650000,0.680000,1,1
"Kepler-766 b","Kepler-766","b",1,"Transit",2016,"Kepler",6.10027804000,,3.39000000,0.30243554,,,,,,,4.7487000,5992.00,1.150000,1.100000,1,1
"Kepler-763 d","Kepler-763","d",3,"Transit",2023,"Kepler",6.50327035000,0.0634000000,1.67000000,0.14898768,,,0.000000,89.76000,0.080000,0.04183000,2.5910000,4999.00,0.843000,0.800000,1,1
"Kepler-1734 b","Kepler-1734","b",1,"Transit",2021,"Kepler",6.79685020400,,3.08851092,0.27553896,,,,,,,,6061.00,0.970000,1.050000,1,1
"Kepler-783 c","Kepler-783","c",2,"Transit",2020,"Kepler",7.05395000000,,2.33153725,0.20800582,,,,,,,,5411.49,0.872088,0.940000,1,1
"Kepler-764 b","Kepler-764","b",1,"Transit",2016,"Kepler",7.33683936000,,1.64000000,0.14631100,,,,,,,3.5120000,5557.00,0.890000,0.920000,1,1
"Kepler-1739 b","Kepler-1739","b",1,"Transit",2021,"Kepler",7.34370994600,,2.43056832,0.21684115,,,,,,,,5757.00,0.762000,0.865000,1,1
"Kepler-748 b","Kepler-748","b",1,"Transit",2016,"Kepler",7.40742793000,,2.52000000,0.22481934,,,,,,,3.5804000,5934.00,1.100000,1.070000,1,1
"Kepler-769 b","Kepler-769","b",2,"Transit",2016,"Kepler",7.42608998000,,2.92000000,0.26050495,,,,,,,3.7017000,6186.00,1.280000,1.190000,1,1
"Kepler-1738 b","Kepler-1738","b",1,"Transit",2021,"Kepler",7.67463016500,,2.82472883,0.25200586,,,,,,,,6063.00,1.001000,1.079000,1,1
"Kepler-1735 b","Kepler-1735","b",1,"Transit",2021,"Kepler",7.71792984000,,1.19429134,0.10654772,,,,,,,,3975.00,0.509000,0.535000,1,1
