pl_name,hostname,pl_letter,sy_pnum,discoverymethod,disc_year,disc_facility,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_bmasselim,pl_orbeccen,pl_orbincl,pl_imppar,pl_trandep,pl_trandur,st_teff,st_rad,st_mass,default_flag,tran_flag
"Kepler-1625 b","Kepler-1625","b",1,"Transit",2016,"Kepler",287.37894900000,,6.06000000,0.54063699,,,,,,,,18.8860000,5677.00,0.940000,0.960000,1,1
"Kepler-79 d","Kepler-79","d",4,"Transit",2014,"Kepler",52.08970000000,,7.15000000,0.63788137,5.30000000,0.01667566,0,0.051000,89.81000,0.160000,0.24789000,,6389.00,1.316000,1.244000,1,1
"Kepler-51 d","Kepler-51","d",4,"Transit",2014,"Kepler",130.19400000000,0.5090000000,9.70000000,0.86500000,7.60000000,0.02400000,0,0.008000,,0.250000,,,6018.00,0.940000,1.040000,1,1
"Kepler-10 b","Kepler-10","b",3,"Transit",2011,"Kepler",0.83749070000,0.0168500000,1.47000000,0.13114484,3.24000000,0.01019418,0,0.000000,84.80000,,,,5708.00,1.065000,0.910000,1,1
"Kepler-167 e","Kepler-167","e",4,"Transit",2016,"Kepler",1071.23205000000,1.8830000000,10.16000000,0.90641605,321.00669107,1.01000000,0,0.290000,89.97200,0.271000,1.54000000,,4884.00,0.749000,0.777000,1,1
"Kepler-1708 b","Kepler-1708","b",1,"Transit",2021,"Kepler",737.11310000000,1.6400000000,9.96000000,0.88857321,1462.01067220,4.60000000,1,0.400000,,0.370000,,,6157.00,1.117000,1.088000,1,1
"Kepler-9 b","Kepler-9","b",3,"Transit",2010,"Kepler",19.23891000000,0.1430000000,8.29000000,0.73958426,43.40000000,0.13655099,0,0.060900,88.98200,0.590000,,4.2430000,5774.00,0.958000,1.022000,1,1
"Kepler-16 b","Kepler-16","b",1,"Transit",2011,"Kepler",228.77600000000,0.7048000000,8.44930000,0.75380000,105.83300000,0.33300000,0,0.006900,90.03220,,,,4450.00,0.648900,0.689700,1,1
"Kepler-11 b","Kepler-11","b",6,"Transit",2010,"Kepler",10.30390000000,0.0910000000,1.80000000,0.16100000,1.90000000,0.00600000,0,0.045000,89.64000,0.116000,0.03013000,4.1160000,5663.00,1.065000,0.961000,1,1
"Kepler-9 c","Kepler-9","c",3,"Transit",2010,"Kepler",38.98530000000,0.2270000000,8.08000000,0.72084932,29.90000000,0.09407545,0,0.066910,89.18800,0.740000,,4.5650000,5774.00,0.958000,1.022000,1,1
"Kepler-22 b","Kepler-22","b",1,"Transit",2011,"Kepler",289.86387600000,0.8120000000,2.10000000,0.18734977,9.10000000,0.02863180,1,0.720000,89.76400,,,,5596.00,0.869000,0.857000,1,1
